cdr_id,caller,receiver,call_datetime,duration_seconds,call_type,cell_tower
1,9876543210,9123456789,2024-01-01T01:51:00,396,Mobile-Mobile,Tower_Bangalore
2,9876543210,9123456789,2024-01-01T03:46:00,847,Mobile-Mobile,Tower_Delhi_Central
3,9876543210,9123456789,2024-01-01T14:44:00,294,Mobile-Mobile,Tower_Delhi_Central
4,9876543210,9123456789,2024-01-01T11:42:00,436,Mobile-Mobile,Tower_UP_Kanpur
5,9876543210,9123456789,2024-01-01T17:00:00,1009,Mobile-Mobile,Tower_Bangalore
6,9876543210,9123456789,2024-01-01T19:31:00,486,Mobile-Mobile,Tower_Bangalore
7,9876543210,9123456789,2024-01-01T20:11:00,1183,Mobile-Mobile,Tower_Bangalore
8,9876543210,9123456789,2024-01-01T18:25:00,96,Mobile-Mobile,Tower_UP_Kanpur
9,9876543210,9123456789,2024-01-01T17:10:00,822,Mobile-Mobile,Tower_Mumbai_Central
10,9876543210,8765432109,2024-01-01T20:13:00,611,Mobile-Mobile,Tower_Bangalore
11,9876543210,8765432109,2024-01-01T03:07:00,198,Mobile-Mobile,Tower_UP_Kanpur
12,9876543210,8765432109,2024-01-01T10:56:00,82,Mobile-Mobile,Tower_Mumbai_Central
13,9876543210,8765432109,2024-01-01T01:28:00,811,Mobile-Mobile,Tower_UP_Kanpur
14,9876543210,8765432109,2024-01-01T23:03:00,814,Mobile-Mobile,Tower_Bangalore
15,9876543210,8765432109,2024-01-01T01:13:00,831,Mobile-Mobile,Tower_Delhi_Central
16,9876543210,7654321098,2024-01-01T17:31:00,54,Mobile-Mobile,Tower_UP_Kanpur
17,9876543210,7654321098,2024-01-01T01:55:00,503,Mobile-Mobile,Tower_Mumbai_Central
18,9876543210,7654321098,2024-01-01T03:52:00,943,Mobile-Mobile,Tower_UP_Kanpur
19,9123456789,9876543210,2024-01-01T01:03:00,1101,Mobile-Mobile,Tower_Bangalore
20,9123456789,9876543210,2024-01-01T23:06:00,974,Mobile-Mobile,Tower_UP_Kanpur
21,9123456789,9876543210,2024-01-01T03:16:00,377,Mobile-Mobile,Tower_UP_Kanpur
22,9123456789,9876543210,2024-01-01T02:34:00,306,Mobile-Mobile,Tower_Delhi_Central
23,9123456789,9876543210,2024-01-01T01:08:00,81,Mobile-Mobile,Tower_Mumbai_Central
24,9123456789,9876543210,2024-01-01T02:22:00,490,Mobile-Mobile,Tower_Delhi_Central
25,9123456789,9876543210,2024-01-01T12:38:00,242,Mobile-Mobile,Tower_UP_Kanpur
26,9123456789,9876543210,2024-01-01T01:22:00,211,Mobile-Mobile,Tower_Mumbai_Central
27,9123456789,9876543210,2024-01-01T14:57:00,945,Mobile-Mobile,Tower_Mumbai_Central
28,9123456789,9876543210,2024-01-01T20:30:00,1055,Mobile-Mobile,Tower_Mumbai_Central
29,9012345678,9876543210,2024-01-01T02:51:00,658,Mobile-Mobile,Tower_Delhi_Central
30,9012345678,9876543210,2024-01-01T15:36:00,1140,Mobile-Mobile,Tower_Mumbai_Central
31,9012345678,9876543210,2024-01-01T18:40:00,445,Mobile-Mobile,Tower_Delhi_Central
32,9012345678,9876543210,2024-01-01T19:45:00,37,Mobile-Mobile,Tower_UP_Kanpur
33,9012345678,9876543210,2024-01-01T17:19:00,995,Mobile-Mobile,Tower_UP_Kanpur
34,9012345678,9876543210,2024-01-01T09:20:00,576,Mobile-Mobile,Tower_UP_Kanpur
35,9012345678,9876543210,2024-01-01T11:46:00,224,Mobile-Mobile,Tower_UP_Kanpur
36,8765432109,8912345678,2024-01-01T23:08:00,318,Mobile-Mobile,Tower_Delhi_Central
37,8765432109,8912345678,2024-01-01T16:17:00,534,Mobile-Mobile,Tower_Bangalore
38,8765432109,8912345678,2024-01-01T03:41:00,174,Mobile-Mobile,Tower_UP_Kanpur
39,8765432109,8912345678,2024-01-01T14:52:00,65,Mobile-Mobile,Tower_UP_Kanpur
40,8765432109,8912345678,2024-01-01T18:58:00,474,Mobile-Mobile,Tower_Bangalore
41,8765432109,8912345678,2024-01-01T23:04:00,336,Mobile-Mobile,Tower_UP_Kanpur
42,8765432109,8912345678,2024-01-01T09:25:00,460,Mobile-Mobile,Tower_UP_Kanpur
43,8765432109,8912345678,2024-01-01T18:40:00,187,Mobile-Mobile,Tower_UP_Kanpur
44,8765432109,8912345678,2024-01-01T11:10:00,861,Mobile-Mobile,Tower_Delhi_Central
45,8765432109,8912345678,2024-01-01T13:05:00,228,Mobile-Mobile,Tower_Delhi_Central
46,8765432109,8912345678,2024-01-01T02:02:00,116,Mobile-Mobile,Tower_Delhi_Central
47,8765432109,8912345678,2024-01-01T03:10:00,355,Mobile-Mobile,Tower_UP_Kanpur
48,8765432109,8912345678,2024-01-01T03:42:00,189,Mobile-Mobile,Tower_Delhi_Central
49,8765432109,6543210987,2024-01-01T20:48:00,498,Mobile-Mobile,Tower_Mumbai_Central
50,8765432109,6543210987,2024-01-01T11:39:00,376,Mobile-Mobile,Tower_Bangalore
51,8765432109,6543210987,2024-01-01T23:14:00,977,Mobile-Mobile,Tower_UP_Kanpur
52,8765432109,6543210987,2024-01-01T13:50:00,1151,Mobile-Mobile,Tower_UP_Kanpur
53,8765432109,6543210987,2024-01-01T19:38:00,622,Mobile-Mobile,Tower_Bangalore
54,8765432109,6543210987,2024-01-01T21:05:00,960,Mobile-Mobile,Tower_Bangalore
55,8765432109,6543210987,2024-01-01T21:26:00,811,Mobile-Mobile,Tower_Bangalore
56,8765432109,6543210987,2024-01-01T02:19:00,685,Mobile-Mobile,Tower_Delhi_Central
57,8765432109,6543210987,2024-01-01T20:28:00,989,Mobile-Mobile,Tower_Mumbai_Central
58,8765432109,6543210987,2024-01-01T10:30:00,457,Mobile-Mobile,Tower_Bangalore
59,7654321098,7123456789,2024-01-01T10:54:00,408,Mobile-Mobile,Tower_Bangalore
60,7654321098,7123456789,2024-01-01T10:27:00,296,Mobile-Mobile,Tower_Delhi_Central
61,7654321098,7123456789,2024-01-01T23:21:00,379,Mobile-Mobile,Tower_Delhi_Central
62,7654321098,7123456789,2024-01-01T01:47:00,802,Mobile-Mobile,Tower_UP_Kanpur
63,7654321098,7123456789,2024-01-01T09:50:00,112,Mobile-Mobile,Tower_Mumbai_Central
64,7654321098,7123456789,2024-01-01T13:01:00,870,Mobile-Mobile,Tower_Delhi_Central
65,7654321098,7123456789,2024-01-01T18:36:00,1082,Mobile-Mobile,Tower_Mumbai_Central
