transaction_id,sender_account,receiver_account,amount_inr,transaction_datetime,transaction_type,sender_bank,receiver_bank,status,remarks
1,SBIN_ACC_3002,UTIB_ACC_3001,746721,2024-01-01T22:06:00,UPI,SBI,ICICI,SUCCESS,Cross-bank transfer
2,UTIB_ACC_3001,ICIC_ACC_2001,422389,2024-01-01T06:33:00,NEFT,Axis,ICICI,SUCCESS,Interstate movement
3,ICIC_ACC_2001,UTIB_ACC_3001,288483,2024-01-01T07:58:00,IFT,Axis,HDFC,SUCCESS,Rapid movement
4,HDFC_ACC_1001,SBIN_ACC_3002,108477,2024-01-01T21:04:00,UPI,ICICI,ICICI,SUCCESS,Cash deposit suspicious
5,UTIB_ACC_3001,ICIC_ACC_2001,442714,2024-01-02T19:25:00,IFT,Axis,HDFC,SUCCESS,Interstate movement
6,ICIC_ACC_2001,UTIB_ACC_3001,266343,2024-01-02T23:50:00,IFT,HDFC,SBI,SUCCESS,Rapid movement
7,HDFC_ACC_1001,SBIN_ACC_3002,178744,2024-01-02T21:34:00,NEFT,HDFC,SBI,SUCCESS,Cash deposit suspicious
8,HDFC_ACC_1001,SBIN_ACC_3002,462172,2024-01-03T11:21:00,IFT,Axis,Axis,SUCCESS,Multiple small deposits
9,HDFC_ACC_1001,SBIN_ACC_3002,194274,2024-01-03T03:31:00,IFT,SBI,SBI,SUCCESS,Cash deposit suspicious
10,SBIN_ACC_3002,UTIB_ACC_3001,712265,2024-01-04T05:11:00,RTGS,HDFC,SBI,SUCCESS,Cross-bank transfer
11,UTIB_ACC_3001,ICIC_ACC_2001,446703,2024-01-04T06:37:00,UPI,SBI,Axis,SUCCESS,Interstate movement
12,HDFC_ACC_1001,SBIN_ACC_3002,187564,2024-01-04T00:36:00,IFT,ICICI,Axis,SUCCESS,Cash deposit suspicious
13,SBIN_ACC_3002,UTIB_ACC_3001,762273,2024-01-05T03:31:00,IFT,Axis,ICICI,SUCCESS,Cross-bank transfer
14,UTIB_ACC_3001,ICIC_ACC_2001,423421,2024-01-05T00:33:00,RTGS,ICICI,Axis,SUCCESS,Interstate movement
15,HDFC_ACC_1001,ICIC_ACC_2001,160079,2024-01-05T05:17:00,RTGS,Axis,ICICI,SUCCESS,Multiple transactions
16,ICIC_ACC_2001,UTIB_ACC_3001,211727,2024-01-05T09:22:00,UPI,HDFC,Axis,SUCCESS,Rapid movement
17,HDFC_ACC_1001,SBIN_ACC_3002,111816,2024-01-05T00:29:00,UPI,HDFC,SBI,SUCCESS,Cash deposit suspicious
18,SBIN_ACC_3002,UTIB_ACC_3001,710718,2024-01-06T16:55:00,UPI,ICICI,SBI,SUCCESS,Cross-bank transfer
19,HDFC_ACC_1001,ICIC_ACC_2001,197167,2024-01-06T14:39:00,UPI,SBI,SBI,SUCCESS,Multiple transactions
20,ICIC_ACC_2001,UTIB_ACC_3001,266510,2024-01-06T12:19:00,IFT,Axis,ICICI,SUCCESS,Rapid movement
21,HDFC_ACC_1001,SBIN_ACC_3002,165399,2024-01-06T13:50:00,NEFT,Axis,SBI,SUCCESS,Cash deposit suspicious
22,HDFC_ACC_1001,ICIC_ACC_2001,216876,2024-01-07T14:28:00,RTGS,SBI,ICICI,SUCCESS,Multiple transactions
23,HDFC_ACC_1001,SBIN_ACC_3002,109973,2024-01-07T23:43:00,UPI,Axis,HDFC,SUCCESS,Cash deposit suspicious
24,SBIN_ACC_3002,UTIB_ACC_3001,731156,2024-01-08T12:41:00,NEFT,ICICI,HDFC,SUCCESS,Cross-bank transfer
25,HDFC_ACC_1001,SBIN_ACC_3002,104638,2024-01-08T01:19:00,UPI,SBI,ICICI,SUCCESS,Cash deposit suspicious
26,SBIN_ACC_3002,UTIB_ACC_3001,795552,2024-01-09T16:47:00,RTGS,ICICI,HDFC,SUCCESS,Cross-bank transfer
27,UTIB_ACC_3001,ICIC_ACC_2001,419027,2024-01-09T20:38:00,UPI,SBI,SBI,SUCCESS,Interstate movement
28,ICIC_ACC_2001,UTIB_ACC_3001,220717,2024-01-09T02:59:00,UPI,ICICI,ICICI,SUCCESS,Rapid movement
29,HDFC_ACC_1001,SBIN_ACC_3002,490850,2024-01-10T14:52:00,NEFT,ICICI,HDFC,SUCCESS,Multiple small deposits
30,UTIB_ACC_3001,ICIC_ACC_2001,377540,2024-01-10T12:46:00,IFT,Axis,ICICI,SUCCESS,Interstate movement
